Name                                                               Type                   Forward_MACs     FPercent    Memory          MPercent    Params       PPercent    InShape          OutShape
/backbone/backbone.0/layers.1/Mul_10                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_11                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_12                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_13                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_14                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_15                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_16                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_17                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_18                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_19                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_20                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_21                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_22                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_23                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_24                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_25                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_26                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_27                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_28                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_29                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_30                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_31                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_32                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_33                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_34                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Mul_35                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul                                  Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_1                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_2                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_3                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_4                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
